,_arpt_ident,_name,_state_prov,_icao,_faa_host_id,_loc_hdatum,_wgs_datum,_wgs_lat,_wgs_dlat,_wgs_long,_wgs_dlong,_elev,_type,_mag_var,_wac,_beacon,_second_arpt,_opr_agy,_sec_name,_sec_icao,_sec_faa,_sec_opr_agy,_cycle_date,__id
,US05526,PHILLIPS FLD,29,KZ,MO23,WGE,WGE,N38380010,38.633361,W092320068,-92.533522,00820,D,E000507 1210,0359,,,PA,,,,,201102,5955
,US05536,FESTUS MEM,29,KZ,KFES,WGE,WGE,N38114180,38.194944,W090230754,-90.385429,00433,D,W000448 1210,0359,Y,,PA,,,,,201004,5956
,US05537,A PAUL VANCE FREDERICKTOWN RGNL,29,KZ,KH88,WGE,WGE,N37362097,37.605825,W090171433,-90.287314,00880,D,W000450 1210,0359,Y,,MU,,,,,201012,5957
,US05552,VICKSBURG MUNI,28,KZ,KVKS,WGE,WGE,N32142154,32.239317,W090554238,-90.928439,00106,D,E000160 1210,0408,Y,,PA,,,,,201005,5958
,US05567,HOLLEY MOUNTAIN AIRPARK,05,KZ,K2A2,WGE,WGE,N35390259,35.650719,W092241373,-92.403814,01270,D,E001003 1210,0408,,,MU,,,,,201012,5959
,US05575,PERRY FOLEY,12,KZ,K40J,WGE,WGE,N30040940,30.069278,W083345010,-83.580583,00044,D,W004316 1210,0466,Y,,PA,,,,,201101,5961
,US05581,SEARCY CO,05,KZ,K4A5,WGE,WGE,N35534915,35.896986,W092393224,-92.658956,00963,D,E001100 1210,0408,Y,,MU,,,,,201009,5962
,US05583,HERMANN MUNI,29,KZ,K63M,WGE,WGE,N38421861,38.705169,W091292600,-91.490556,00508,D,E000026 1210,0359,Y,,MU,,,,,201012,5963
,US05586,CUBA MUNI,29,KZ,KUBX,WGE,WGE,N38040758,38.068772,W091254389,-91.428858,01023,D,E000039 1210,0359,Y,,PA,,,,,201101,5964
,US05630,TRAVIS AFB,06,KSUU,SUU,WGE,WGE,N38154569,38.262692,W121553887,-121.927464,00062,C,E014161 1210,0364,Y,,AF,,,,,201101,5966
,US05631,LANDING AT RIVERS EDGE,47,KZ,98TN,WGE,WGE,N36083300,36.142500,W083361500,-83.604167,01019,D,W005345 1210,0358,,,PV,,,,,200805,5967
,US05636,LEXINGTON MUNI,29,KZ,K4K3,WGE,WGE,N39123560,39.209889,W093553980,-93.927722,00691,D,E001507 1210,0360,Y,,MU,,,,,201009,5968
,US05647,KESTREL AIRPARK,48,KZ,K1T7,WGE,WGE,N29484230,29.811750,W098253380,-98.426056,01261,D,E004596 1210,0469,,,PV,,,,,201010,5969
,US05659,DE KALB TAYLOR MUNI,17,KZ,KDKB,WGE,WGE,N41560180,41.933833,W088422047,-88.705686,00914,A,W002387 1210,0308,Y,,PA,,,,,201003,5970
,US05673,LAMAR MUNI,29,KZ,KLLU,WGE,WGE,N37292217,37.489492,W094184142,-94.311506,01009,D,E002143 1210,0360,Y,,PA,,,,,201103,5972
,US05676,RICHTERS,29,KZ,87MO,WGE,WGE,N38414604,38.696122,W094152881,-94.258003,00915,D,E002075 1210,0360,,,PV,,,,,201004,5973
,US05697,WOMSTEAD FLD,21,KZ,2KY5,WGE,WGE,N38223000,38.375000,W083091700,-83.154722,01050,D,W006214 1210,0358,,,PV,,,,,201101,5975
,US05777,VALIER,30,KZ,K7S7,WGE,WGE,N48175991,48.299976,W112150314,-112.250872,03820,D,E013486 1210,0217,,,PA,,,,,200910,5976
,US05780,GOLD BEACH MUNI,41,KZ,K4S1,WGE,WGE,N42245507,42.415297,W124252972,-124.424922,00020,D,E015424 1210,0304,Y,,PA,,,,,200906,5977
,US74795,EL CENTRO NAF,06,KNJK,NJK,WGE,WGE,N32494520,32.829222,W115401800,-115.671667,-0042,C,E011511 1210,0404,Y,,ND,,,,,200813,8792
,US74796,DEXTER RGNL,23,KZ,K1B0,WGE,WGE,N45001622,45.004506,W069141478,-69.237439,00533,D,W016456 0211,0263,Y,,PA,,,,,201103,8793
,US74806,SANDUSKY CITY,26,KZ,KY83,WGE,WGE,N43271935,43.455375,W082502875,-82.841319,00776,D,W007503 1210,0309,Y,,PA,,,,,201002,8794
,US74824,PORT COLUMBUS INTL,39,KCMH,CMH,WGE,WGE,N39595270,39.997972,W082533080,-82.891889,00815,A,W006550 1210,0358,Y,,PA,,,,,201012,8795
,US74835,DONEGAL SPRINGS AIRPARK,42,KZ,KN71,WGE,WGE,N40053194,40.092206,W076342768,-76.574356,00458,D,W011239 1210,0310,Y,,MU,,,,,201102,8796
,US74840,HIGGINS LIPSCOMB CO,48,KZ,K1X1,WGE,WGE,N36062125,36.105903,W100013254,-100.025706,02566,D,E005598 1210,0361,Y,,MU,,,,,200712,8797
,US05982,JORGENSEN STOLLER,55,KZ,1WI8,WGE,WGE,N44380900,44.635833,W087262482,-87.440228,00690,D,W003518 0105,0265,,,PV,,,,,200409,5995
,US74843,METROPOLIS MUNI,17,KZ,KM30,WGE,WGE,N37110919,37.185886,W088450220,-88.750611,00384,D,W001520 1210,0359,Y,,PA,,,,,200901,8798
,US74884,JEROME CO,16,KZ,KJER,WGE,WGE,N42433610,42.726694,W114272390,-114.456639,04053,A,E013293 1210,0305,Y,,PA,,,,,201008,8799
,US05992,JAKS FLD,55,KZ,56WI,WGE,WGE,N44462438,44.773439,W089353743,-89.593731,01190,D,W001550 0105,0265,,,PV,,,,,200410,5998
,US05993,TURNER,55,KZ,4WI4,WGE,WGE,N45342667,45.574075,W089445270,-89.747972,01500,D,W001574 0105,0265,,,PV,,,,,200109,5999
,US74919,SIOUX CENTER MUNI,19,KZ,KSOY,WGE,WGE,N43080397,43.134436,W096111507,-96.187519,01448,D,E003185 1210,0307,,,MU,,,,,201006,8801
,US75001,PANHANDLE CARSON CO,48,KZ,KT45,WGE,WGE,N35214210,35.361694,W101215430,-101.365083,03454,D,E006437 1210,0406,Y,,PA,,,,,200707,8802
,US06009,NORTHERN  LITE,55,KZ,00WI,WGE,WGE,N44181543,44.304286,W089030041,-89.050114,00860,D,W002185 0105,0265,,,PV,,,,,200109,6002
,US06010,WEATHERBEE FLD,55,KZ,7WI6,WGE,WGE,N43281394,43.470539,W089213242,-89.359006,00960,D,W001508 0105,0308,,,PV,,,,,200203,6003
,US75026,PRYOR FLD RGNL,01,KZ,KDCU,WGE,WGE,N34391460,34.654056,W086564330,-86.945361,00592,A,W002515 1210,0409,Y,,PA,,,,,201012,8803
,US75095,SPIRIT OF ST LOUIS,29,KSUS,SUS,WGE,WGE,N38394360,38.662111,W090390740,-90.652056,00463,A,W000358 1210,0359,Y,,PA,,,,,201103,8804
,US75155,RIO GRANDE CITY MUNI,48,KZ,K67R,WGE,WGE,N26252742,26.424283,W098504589,-98.846081,00290,D,E005124 1210,0522,Y,,PA,,,,,201013,8805
,US75182,INDIANAPOLIS EXECUTIVE,18,KZ,KTYQ,WGE,WGE,N40015040,40.030667,W086150518,-86.251439,00922,A,W004174 1210,0308,Y,,PA,,,,,200910,8806
,US75256,QUAIL LAKE SKY PARK,06,KZ,CL46,WGE,WGE,N34460393,34.767758,W118435432,-118.731756,03370,D,E012535 1210,0404,,,PV,,,,,201102,8807
,US75265,NEWNAN COWETA CO,13,KZ,KCCO,WGE,WGE,N33184163,33.311564,W084461112,-84.769756,00970,A,W004137 1210,0409,Y,,PA,,,,,201102,8808
,US75301,PUNXSUTAWNEY MUNI,42,KZ,KN35,WGE,WGE,N40580003,40.966675,W078554802,-78.930006,01439,D,W010045 1210,0309,Y,,PA,,,,,201010,8809
,US75303,DUBUQUE RGNL,19,KDBQ,DBQ,WGE,WGE,N42240720,42.402000,W090423410,-90.709472,01077,A,W001033 1210,0308,Y,,PA,,,,,201101,8810
,US75384,FALCON FLD,04,KZ,KFFZ,WGE,WGE,N33273900,33.460833,W111434200,-111.728333,01394,A,E010539 0211,0405,Y,,PA,,,,,201103,8811
,US75400,MONTROSE RGNL,08,KZ,KMTJ,WGE,WGE,N38303526,38.509794,W107533928,-107.894244,05759,A,E010141 1210,0362,Y,,PA,,,,,200909,8812
,US75432,DRAKE FLD,05,KFYV,FYV,WGE,WGE,N36001834,36.005094,W094101221,-94.170059,01251,A,E002135 1210,0360,Y,,PA,,,,,201013,8813
,US75443,SISTERS EAGLE AIR,41,KZ,K6K5,WGE,WGE,N44181642,44.304562,W121322116,-121.539211,03168,D,E015441 1210,0269,,,PV,,,,,200812,8814
,US75448,GIDEON MEM,29,KZ,KM85,WGE,WGE,N36263752,36.443756,W089541382,-89.903839,00269,D,W000541 1210,0359,,,MU,,,,,201012,8815
,US75457,GARLAND,26,KZ,K8M8,WGE,WGE,N44482350,44.806528,W084163430,-84.276194,01218,D,W007026 1210,0264,Y,,PV,,,,,200911,8816
,US75478,CRAWFORDSVILLE MUNI,18,KZ,KCFJ,WGE,WGE,N39583226,39.975628,W086551151,-86.919864,00799,A,W003447 1210,0359,Y,,PA,,,,,201013,8817
,US75496,GROSSE ILE MUNI,26,KZ,KONZ,WGE,WGE,N42055668,42.099078,W083094129,-83.161469,00591,A,W007131 1210,0309,Y,,PA,,,,,201012,8818
,US75503,AURORA STATE,41,KZ,KUAO,WGE,WGE,N45144970,45.247139,W122461220,-122.770056,00200,A,E016134 1210,0269,Y,,PA,,,,,201010,8819
,US75521,BRADY RANCH,12,KZ,80FD,WGE,WGE,N27064818,27.113384,W080380020,-80.633389,00018,D,W005590 1210,0525,,,PV,,,,,201005,8820
